event_id,object_id,e2o_qualifier
input_tally_sheettr7,tr7,Tally Sheet for pickup plan
eval_trs_exittr7_Pcp36,tr7,Exit evaluation for truck
assign_trs_Pcp47,tr21,Pickup plan trucks assignment
weigh_loaded_trucktr20,tr20,Truck weighed
input_tally_sheettr25,tr25,Tally Sheet for pickup plan
print_w_tickettr25,tr25,Printed weighing ticket for pickup plan
eval_trs_exittr25_Pcp52,tr25,Exit evaluation for truck
weigh_loaded_trucktr26,tr26,Truck weighed
print_w_tickettr39,tr39,Printed weighing ticket for pickup plan
input_tally_sheettr39,tr39,Tally Sheet for pickup plan
eval_trs_exittr39_Pcp69,tr39,Exit evaluation for truck
weigh_loaded_trucktr37,tr37,Truck weighed
assign_trs_Pcp62,tr42,Pickup plan trucks assignment
weigh_loaded_trucktr14,tr14,Truck weighed
weigh_loaded_trucktr8,tr8,Truck weighed
assign_trs_Pcp57,tr48,Pickup plan trucks assignment
weigh_loaded_trucktr31,tr31,Truck weighed
assign_trs_Pcp34,tr23,Pickup plan trucks assignment
assign_trs_Pcp82,tr30,Pickup plan trucks assignment
weigh_loaded_trucktr29,tr29,Truck weighed
weigh_loaded_trucktr32,tr32,Truck weighed
assign_trs_Pcp81,tr6,Pickup plan trucks assignment
assign_trs_Pcp71,tr28,Pickup plan trucks assignment
assign_trs_Pcp82,tr19,Pickup plan trucks assignment
weigh_loaded_trucktr46,tr46,Truck weighed
input_tally_sheettr32,tr32,Tally Sheet for pickup plan
print_w_tickettr32,tr32,Printed weighing ticket for pickup plan
eval_trs_exittr32_Pcp29,tr32,Exit evaluation for truck
input_tally_sheettr1,tr1,Tally Sheet for pickup plan
print_w_tickettr1,tr1,Printed weighing ticket for pickup plan
eval_trs_exittr1_Pcp77,tr1,Exit evaluation for truck
input_tally_sheettr27,tr27,Tally Sheet for pickup plan
print_w_tickettr27,tr27,Printed weighing ticket for pickup plan
eval_trs_exittr27_Pcp36,tr27,Exit evaluation for truck
assign_trs_Pcp88,tr22,Pickup plan trucks assignment
assign_trs_Pcp90,tr2,Pickup plan trucks assignment
weigh_loaded_trucktr36,tr36,Truck weighed
input_tally_sheettr20,tr20,Tally Sheet for pickup plan
print_w_tickettr20,tr20,Printed weighing ticket for pickup plan
eval_trs_exittr20_Pcp49,tr20,Exit evaluation for truck
print_w_tickettr4,tr4,Printed weighing ticket for pickup plan
input_tally_sheettr4,tr4,Tally Sheet for pickup plan
eval_trs_exittr4_Pcp42,tr4,Exit evaluation for truck
weigh_loaded_trucktr41,tr41,Truck weighed
input_tally_sheettr37,tr37,Tally Sheet for pickup plan
print_w_tickettr37,tr37,Printed weighing ticket for pickup plan
eval_trs_exittr37_Pcp64,tr37,Exit evaluation for truck
assign_trs_Pcp5,tr47,Pickup plan trucks assignment
print_w_tickettr5,tr5,Printed weighing ticket for pickup plan
input_tally_sheettr5,tr5,Tally Sheet for pickup plan
