event_id,timestamp,activity
eval_trs_exittr22_Pcp69,2024-04-02 11:57:05,Evaluate the Truck Exit
print_w_tickettr22,2024-04-02 11:57:05,Print the Weighing Ticket
print_w_tickettr22,2024-04-04 08:28:51,Print the Weighing Ticket
print_w_tickettr22,2024-04-08 07:59:58,Print the Weighing Ticket
print_w_tickettr22,2024-04-09 14:39:25,Print the Weighing Ticket
print_w_tickettr22,2024-04-10 14:00:32,Print the Weighing Ticket
print_w_tickettr47,2024-04-02 11:58:01,Print the Weighing Ticket
print_w_tickettr47,2024-04-03 16:50:18,Print the Weighing Ticket
print_w_tickettr47,2024-04-05 19:35:40,Print the Weighing Ticket
print_w_tickettr47,2024-04-10 07:51:28,Print the Weighing Ticket
print_w_tickettr47,2024-04-11 13:41:52,Print the Weighing Ticket
eval_trs_exittr47_Pcp92,2024-04-02 11:58:01,Evaluate the Truck Exit
input_tally_sheettr47,2024-04-02 11:58:01,Input the Tally Sheet
input_tally_sheettr47,2024-04-03 16:50:18,Input the Tally Sheet
input_tally_sheettr47,2024-04-05 19:35:40,Input the Tally Sheet
input_tally_sheettr47,2024-04-10 07:51:28,Input the Tally Sheet
input_tally_sheettr47,2024-04-11 13:41:52,Input the Tally Sheet
weigh_loaded_trucktr34,2024-04-02 11:58:23,Weigh the Loaded Truck
weigh_loaded_trucktr34,2024-04-03 14:54:11,Weigh the Loaded Truck
weigh_loaded_trucktr34,2024-04-04 14:33:11,Weigh the Loaded Truck
